Cable Electric,"S006
BE 495B2","Ready
GENERAL READY
1.6 Hour(s)","MRM-250T--T1
Bit:0.00 Fines: 0.00 D50:0.0","250W_AUG11
Elev: 252.6 Target: 253.0
-0.4 (Low)",POIRIER MARTIN,"797's: 370.3
","797's: 363.3
",Cable Electric Totals:,"797's: 340.8
","797's: 355.5
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Cable Electric,"S011
BE 495B2","Ready
GENERAL READY
2.6 Hour(s)","MRM-221F-27
Bit:10.41 Fines: 17.61 D50:150.0","221F_AUG16
Elev: 220.9 Target: 220.2
0.6 (High)",BREEN ADAM,"797's: 282.1
","797's: 356.9
",Cable Electric Totals:,"797's: 340.8
","797's: 355.5
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Cable Electric,"S012
BE 495B2","Standby
NO OPERATOR
5.4 Day(s)","SKB-233E-15
Bit:12.93 Fines: 6.81 D50:253.1","SKB_233E_AUG11
Elev: 233.0 Target: 233.4
-0.3 (Low)",NONE,,,Cable Electric Totals:,"797's: 340.8
","797's: 355.5
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Cable Electric,"S013
BE 495B2","Ready
GENERAL READY
9 Minute(s)","SKB-241E-S013-TYPE5
Bit:-1.00 Fines: -1.00 D50:-1.0","SKB_239W_AUG17
Elev: 234.9 Target: 234.8
0.1 (High)",GRAY CURRY,"797's: 388.8
","797's: 376.8
",Cable Electric Totals:,"797's: 340.8
","797's: 355.5
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Cable Electric,"S014
BE 495B2","Ready
GENERAL READY
3.3 Hour(s)","MRM-226F-10
Bit:12.93 Fines: 7.29 D50:269.6","226F_AUG16
Elev: 224.0 Target: 223.8
0.2 (High)",SKINNER BEE-JAY,"797's: 335.4
","797's: 315.7
",Cable Electric Totals:,"797's: 340.8
","797's: 355.5
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Cable Electric,"S015
BE 495B2","Ready
GENERAL READY
4 Minute(s)","MRM-255T--DW3
Bit:0.00 Fines: 0.00 D50:0.0","250W_AUG11
Elev: 254.2 Target: 0.0
254.2 (High)",PEDDLE ELKE,"797's: 308.5
","797's: 370.6
",Cable Electric Totals:,"797's: 340.8
","797's: 355.5
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Hydraulic,"S2503
HIT 2500","Ready
GENERAL READY
4 Minute(s)","290W-2-DUMPWST3
Bit:-1.00 Fines: -1.00 D50:-1.0","245W_JULY31
Elev: 271.7 Target: 0.0
271.7 (High)",BREMNER DENNIS,,"789's: 186.5
785's: 128.3
",Hydraulic Totals:,"797's: 308.5
789's: 178.1
785's: 102.8
","797's: 308.3
789's: 186.4
785's: 126.0
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Hydraulic,"S302
Komatsu 3000","Ready
GENERAL READY
10.1 Hour(s)","PRJ-CLN-DY-D7-S2503-DUMPWASTE
Bit:-1.00 Fines: -1.00 D50:-1.0","-
Elev: 0.0 Target: 0.0
0.0",EASON VINCENT,"789's: 178.1
785's: 102.8
","797's: 297.1
789's: 186.4
785's: 124.8
",Hydraulic Totals:,"797's: 308.5
789's: 178.1
785's: 102.8
","797's: 308.3
789's: 186.4
785's: 126.0
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Hydraulic,"S808
HIT 8000","Ready
GENERAL READY
14 Minute(s)","MRM-249ES-13
Bit:11.01 Fines: 19.22 D50:242.8","249ES_AUG12
Elev: 256.6 Target: 258.1
-1.5 (Low)",REGULAR PHIL,"797's: 366.9
","797's: 316.0
",Hydraulic Totals:,"797's: 308.5
789's: 178.1
785's: 102.8
","797's: 308.3
789's: 186.4
785's: 126.0
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"
Hydraulic,"S810
HIT 8000","Ready
GENERAL READY
2.4 Hour(s)","SKB-250E--OREL
Bit:0.00 Fines: 0.00 D50:0.0","SKB_250W_AUG17
Elev: 248.5 Target: 248.0
0.5 (High)",MCDONNELL LIAM,"797's: 275.4
","797's: 302.6
",Hydraulic Totals:,"797's: 308.5
789's: 178.1
785's: 102.8
","797's: 308.3
789's: 186.4
785's: 126.0
","797's: 332.0
789's: 178.1
785's: 102.8
","797's: 349.1
789's: 186.4
785's: 126.0
"

Shovel,GradeGPS,MTGPS,GradeOPER,MTOPER,Category,Minutes,LoadCount
S013,SKB-241E-9,Ore,SKB-241E-S013-TYPE5,Type5,Ore to Waste,3.2,1
S302,,,PRJ-CLN-DY-D7-S2503-DUMPWASTE,DumpWaste,No GPS Grade,3.7,1
S808,MRM-249ES-13,Ore,MRM-249WCM-20,Ore,Inconsistent Ore Grade,5.0,1
S810,SKB-250E-5,Ore,SKB-250E--OREL,OreLumps,Inconsistent Ore Grade,4.6,1

textbox2,textbox10,textbox14,textbox5,textbox11,NextLocation,MinsRemain,NextShovelAssignment,Projection,textbox15,FieldFueltank,RemainFuelPercent
#Error,#Error,#Error,T104,Ready,LUBELAND_MRM,(0.1),,No,#Error,3866,17.98%
#Error,#Error,#Error,T472,Ready,LUBELAND_MRM,9.3,S2905,No,#Error,2498,21.51%
#Error,#Error,#Error,T108,Ready,DU_IPD6_HWY_541,15.0,,No,#Error,3866,22.42%
#Error,#Error,#Error,T469,Ready,LUBELAND_MRM,4.6,S2905,No,#Error,2498,23.16%
#Error,#Error,#Error,T163,Ready,MRM-255W-S015,14.0,S015,Yes,#Error,5110,25.58%
#Error,#Error,#Error,T106,Ready,DY_PD7_GF_530,13.0,,No,#Error,5110,27.07%
#Error,#Error,#Error,T119,Ready,CR2_MRM,10.2,,No,#Error,5110,27.39%
#Error,#Error,#Error,T166,Ready,DU_IPD6_HWY_541,18.4,,No,#Error,5110,30.86%
#Error,#Error,#Error,T140,Ready,MRM-255W-S015,6.3,S015,Yes,#Error,4700,32.96%
#Error,#Error,#Error,T101,Ready,MRM_SWAP SHACK,3.0,,No,#Error,3866,35.44%

Truck3,NextLocation3,Category1,Reason,MinsRemain1,NextShovelAssignment2
